condition,pct,seed,dataset,layer,n_ablated_per_layer,freq_auroc,freq_auroc_std,freq_accuracy
random,5.0,1,medical,4,102,0.9024793388429753,0.038904470399801,0.8272727272727274
random,5.0,1,medical,5,102,0.8859504132231406,0.0344341597619829,0.7818181818181819
random,5.0,2,medical,0,102,0.9867768595041323,0.011210462782025284,0.9181818181818182
random,5.0,2,medical,1,102,0.9867768595041323,0.009917355371900844,0.9
random,5.0,2,medical,2,102,0.9570247933884298,0.021803150344252717,0.9
random,5.0,2,medical,3,102,0.9586776859504132,0.030477832916670684,0.9090909090909092
random,5.0,2,medical,4,102,0.9008264462809917,0.04761937286243942,0.809090909090909
random,5.0,2,medical,5,102,0.8975206611570247,0.0432919036486241,0.8181818181818181
random,10.0,0,medical,0,204,0.9867768595041323,0.011210462782025284,0.9181818181818182
random,10.0,0,medical,1,204,0.9867768595041323,0.009917355371900844,0.9
random,10.0,0,medical,2,204,0.9570247933884298,0.021803150344252717,0.9
random,10.0,0,medical,3,204,0.9586776859504132,0.030477832916670684,0.9090909090909092
random,10.0,0,medical,4,204,0.8892561983471075,0.05002560644767453,0.8363636363636363
random,10.0,0,medical,5,204,0.8710743801652893,0.046044258767550784,0.8
random,10.0,1,medical,0,204,0.9867768595041323,0.011210462782025284,0.9181818181818182
random,10.0,1,medical,1,204,0.9867768595041323,0.009917355371900844,0.9
random,10.0,1,medical,2,204,0.9570247933884298,0.021803150344252717,0.9
random,10.0,1,medical,3,204,0.9586776859504132,0.030477832916670684,0.9090909090909092
random,10.0,1,medical,4,204,0.8958677685950412,0.05763833313772791,0.8272727272727274
