condition,pct,seed,dataset,layer,n_ablated_per_layer,freq_auroc,freq_auroc_std,freq_accuracy
circuit_pos,10.0,0,emotion,6,819,0.9780718336483932,0.007232940064162188,0.9347826086956521
circuit_pos,10.0,0,emotion,7,819,0.9765595463137997,0.007984390201112584,0.9391304347826088
circuit_pos,10.0,0,emotion,8,819,0.9792060491493384,0.00560771152143338,0.9521739130434783
circuit_pos,10.0,0,emotion,9,819,0.9799621928166351,0.004409037349599469,0.9260869565217392
circuit_pos,10.0,0,emotion,10,819,0.9810964083175804,0.007272356923127168,0.9217391304347826
circuit_pos,10.0,0,emotion,11,819,0.9810964083175804,0.004929453614519932,0.9304347826086955
circuit_pos,10.0,0,emotion,12,819,0.9731568998109641,0.0027782492356708886,0.9173913043478261
circuit_pos,10.0,0,emotion,13,819,0.9640831758034025,0.0026733715734840583,0.8913043478260871
circuit_pos,10.0,0,emotion,14,819,0.9429111531190927,0.0093682508078366,0.8608695652173914
circuit_pos,10.0,0,emotion,15,819,0.8956521739130435,0.014613344491559663,0.7913043478260869
circuit_pos,25.0,0,emotion,0,2048,0.9716446124763705,0.011151516978262879,0.9304347826086955
circuit_pos,25.0,0,emotion,1,2048,0.9742911153119092,0.010799891763391887,0.9130434782608695
circuit_pos,25.0,0,emotion,2,2048,0.975803402646503,0.006909514889412871,0.917391304347826
circuit_pos,25.0,0,emotion,3,2048,0.9758034026465028,0.008055680813861042,0.9217391304347826
circuit_pos,25.0,0,emotion,4,2048,0.9814744801512287,0.006909514889412917,0.9217391304347826
circuit_pos,25.0,0,emotion,5,2048,0.980718336483932,0.008143916532528548,0.9304347826086957
circuit_pos,25.0,0,emotion,6,2048,0.9780718336483932,0.007232940064162188,0.9347826086956521
circuit_pos,25.0,0,emotion,7,2048,0.9765595463137997,0.007984390201112584,0.9391304347826088
circuit_pos,25.0,0,emotion,8,2048,0.9792060491493384,0.00560771152143338,0.9521739130434783
circuit_pos,25.0,0,emotion,9,2048,0.9799621928166351,0.004409037349599469,0.9260869565217392
circuit_pos,25.0,0,emotion,10,2048,0.9810964083175804,0.007272356923127168,0.9217391304347826
circuit_pos,25.0,0,emotion,11,2048,0.9799621928166353,0.004243845807305009,0.9304347826086955
circuit_pos,25.0,0,emotion,12,2048,0.9731568998109641,0.008403066454023807,0.9260869565217391
circuit_pos,25.0,0,emotion,13,2048,0.9652173913043478,0.008752995767705255,0.9
circuit_pos,25.0,0,emotion,14,2048,0.9417769376181475,0.01495177310645384,0.8652173913043478
circuit_pos,25.0,0,emotion,15,2048,0.8854442344045369,0.018963986697897128,0.7869565217391303
circuit_pos,50.0,0,emotion,0,4096,0.9716446124763705,0.011151516978262879,0.9304347826086955
circuit_pos,50.0,0,emotion,1,4096,0.9742911153119092,0.010799891763391887,0.9130434782608695
circuit_pos,50.0,0,emotion,2,4096,0.975803402646503,0.006909514889412871,0.917391304347826
circuit_pos,50.0,0,emotion,3,4096,0.9758034026465028,0.008055680813861042,0.9217391304347826
circuit_pos,50.0,0,emotion,4,4096,0.9814744801512287,0.006909514889412917,0.9217391304347826
circuit_pos,50.0,0,emotion,5,4096,0.980718336483932,0.008143916532528548,0.9304347826086957
circuit_pos,50.0,0,emotion,6,4096,0.9780718336483932,0.007232940064162188,0.9347826086956521
circuit_pos,50.0,0,emotion,7,4096,0.9765595463137997,0.007984390201112584,0.9391304347826088
circuit_pos,50.0,0,emotion,8,4096,0.9792060491493384,0.00560771152143338,0.9521739130434783
circuit_pos,50.0,0,emotion,9,4096,0.9799621928166351,0.004409037349599469,0.9260869565217392
circuit_pos,50.0,0,emotion,10,4096,0.9810964083175804,0.007272356923127168,0.9217391304347826
