high_freq_ngram,low_freq_ngram,frequency_ratio,log_ratio,category,jsd_layer_0,jsd_layer_1,jsd_layer_2,jsd_layer_3,jsd_layer_4,jsd_layer_5
lightning,electrical discharge,130.74,2.116,phenomena,0.46378594890331865,0.4948045271098495,0.3139143321276672,0.24952337421578324,0.20315048638626568,0.0
galaxy,stellar system,323.52,2.51,astronomy,0.5442431929524425,0.43838549313974806,0.32677839247162965,0.272063783128561,0.13719038758884933,0.0
lung,pulmonary organ,25967.04,4.414,anatomy,0.40898340242358877,0.5159409170142255,0.3215595570005936,0.264915388703037,0.23973381465619026,0.0
volcano,volcanic vent,541.27,2.733,earth_science,0.40640895223843587,0.38429677292134223,0.303202030047685,0.22624304709841203,0.1137674388457905,0.0
bone,skeletal structure,407.2,2.61,anatomy,0.5112503494620178,0.5051009985679298,0.31699452752008855,0.27295404132790635,0.1997977737007677,0.3465735900471261
orbit,orbital path,414.75,2.618,astronomy,0.4808966829675963,0.4112326495029856,0.29510561328471385,0.24861605653413427,0.1496244088873579,0.0
electricity,electrical current,68.39,1.835,physics,0.5009021409393198,0.4522804219882658,0.32904454681279405,0.2404419592374974,0.15341958025366084,0.0
acid,corrosive compound,60627.74,4.783,chemistry,0.5036486947035456,0.5489385010432049,0.35620329865371014,0.26884717494721866,0.22462887617539304,0.0
cell,cellular unit,21958.45,4.342,biology,0.5325473581799609,0.4446386047788817,0.2803795341981455,0.23641523950920845,0.17160514691868595,0.0
food chain,trophic cascade,145.57,2.163,ecology,0.4160774159419567,0.3683186471163612,0.23620591832582077,0.19849823445379453,0.14793806051319738,0.0
continent,landmass,23.0,1.362,earth_science,0.5066082707347476,0.4859597727047186,0.32055745212358355,0.25684849339533994,0.21930451212146812,0.0
ocean,marine basin,8764.58,3.943,earth_science,0.41524709372169666,0.3937365730542022,0.26852110718222594,0.22092405426451772,0.12845194524395465,0.34657359003812604
habitat,ecological niche,123.66,2.092,ecology,0.4238729171840968,0.3868076162389233,0.2738858279816586,0.23657001570929348,0.13773903150221667,0.0
weather,meteorological conditions,608.28,2.784,earth_science,0.4650639005797673,0.380094449475755,0.2893505453298902,0.2675239937075229,0.14055949494564507,0.2274346758462767
animal,fauna,20.19,1.305,biology,0.53139625638707,0.4754751988705557,0.263598641442497,0.20674132340536322,0.13646002329074042,0.0
tornado,cyclonic vortex,2392.94,3.379,phenomena,0.3794360101705787,0.44141609337253707,0.3481137795645686,0.24813664941091224,0.15457949160025636,0.3465735900291261
weight,gravitational mass,4161.56,3.619,physics,0.4451426215297605,0.3858494112930027,0.2955485982464285,0.2524036745177461,0.15978080571178493,0.34657359003562604
gene,genetic locus,2100.95,3.322,biology,0.3962709599788309,0.40497533462369284,0.2657705072059386,0.20258981302472712,0.13696903081684952,0.0
extinction,species loss,151.09,2.179,ecology,0.49270762745832686,0.3779177586542982,0.23870749642521683,0.21602346556305999,0.10678241226300465,0.34657359002562604
gravity,gravitational force,49.3,1.693,physics,0.4673572318069671,0.3090932562515016,0.2507682147415983,0.23476329590430622,0.1273666645426107,0.0
thunder,sonic boom,88.46,1.947,phenomena,0.36896775523836717,0.49056263650712734,0.39487856936695864,0.2814096796827005,0.2123563378807234,0.0
